title,firstname,middlename,lastname,name_suffix,nickname,party,state,district,in_office,gender,phone,fax,website,webform,congress_office,bioguide_id,votesmart_id,fec_id,govtrack_id,crp_id,twitter_id,congresspedia_url,youtube_url,facebook_id,official_rss,senate_class,birthdate,oc_email
Rep,Jason,,Altmire,,,D,PA,4,0,M,202-225-2565,202-226-2274,http://altmire.house.gov,https://forms.house.gov/altmire/webforms/issue_subscribe.htm,332 Cannon House Office Building,A000362,59999,H6PA04110,412231,N00027664,,http://www.opencongress.org/wiki/Jason_Altmire,,,,,1968-03-07,
Rep,Michael,A.,Arcuri,,,D,NY,24,0,M,,,http://arcuri.house.gov,,,A000363,67657,H6NY24128,412224,N00027890,,http://www.opencongress.org/wiki/Michael_Arcuri,,,,,1959-06-11,
Rep,John,H.,Adler,,,D,NJ,3,0,M,,,http://adler.house.gov,,,A000364,4171,H8NJ03156,412264,N00000812,,http://www.opencongress.org/wiki/John_Adler,,,,,1959-08-23,
Rep,Steve,,Austria,,,R,OH,7,0,M,202-225-4324,202-225-1984,http://austria.house.gov,https://forms.house.gov/austria/contact-form.shtml,439 Cannon House Office Building,A000365,23398,H8OH07065,412265,N00029412,,http://www.opencongress.org/wiki/Steven_Austria,,,,,1958-10-12,
Rep,Sandy,,Adams,,,R,FL,24,0,F,202-225-2706,202-226-6299,http://adams.house.gov/,,216 Cannon House Office Building,A000366,31041,H0FL24049,412414,N00030926,,http://www.opencongress.org/wiki/Sandy_Adams,,,,,1956-12-14,
Rep,Justin,,Amash,,,R,MI,3,1,M,202-225-3831,202-225-5144,http://amash.house.gov,,114 Cannon House Office Building,A000367,105566,H0MI03126,412438,N00031938,,http://www.opencongress.org/wiki/Justin_Amash,http://youtube.com/repjustinamash,repjustinamash,,,1980-04-18,Rep.Amash@opencongress.org
Sen,Kelly,,Ayotte,,,R,NH,Junior Seat,0,F,202-224-3324,202-224-4952,http://www.ayotte.senate.gov,http://www.ayotte.senate.gov/?p=contact,144 Russell Senate Office Building,A000368,42352,S0NH00235,412493,N00030980,,http://www.opencongress.org/wiki/Kelly_Ayotte,,,,III,1968-06-27,
Rep,Mark,E.,Amodei,,,R,NV,2,1,M,202-225-6155,202-225-5679,https://amodei.house.gov,,332 Cannon House Office Building,A000369,12537,H2NV02395,412500,N00031177,MarkAmodeiNV2,http://www.opencongress.org/wiki/Mark_Amodei,http://youtube.com/markamodeinv2,MarkAmodeiNV2,,,1958-06-12,Rep.Amodei@opencongress.org
Rep,Alma,,Adams,,,D,NC,12,1,F,202-225-1510,202-225-1512,http://adams.house.gov,,222 Cannon House Office Building,A000370,5935,H4NC12100,412607,N00035451,RepAdams,,,CongresswomanAdams,,,1946-05-27,Rep.Adams@opencongress.org
Rep,Pete,,Aguilar,,,D,CA,31,1,M,202-225-3201,202-226-6962,https://aguilar.house.gov,,1223 Longworth House Office Building,A000371,70114,H2CA31125,412615,N00033997,reppeteaguilar,,,reppeteaguilar,,,1979-06-19,Rep.Aguilar@opencongress.org
Rep,Rick,,Allen,,,R,GA,12,1,M,202-225-2823,202-225-3377,http://allen.house.gov,,426 Cannon House Office Building,A000372,136062,H2GA12121,412625,N00033720,reprickallen,,,CongressmanRickAllen,,,1951-11-07,Rep.Allen@opencongress.org
Rep,Ralph,,Abraham,,,R,LA,5,1,M,202-225-8490,202-225-5639,https://abraham.house.gov,,417 Cannon House Office Building,A000374,155414,H4LA05221,412630,N00036633,RepAbraham,,,CongressmanRalphAbraham,,,1954-09-16,Rep.Abraham@opencongress.org
Rep,Jodey,,Arrington,,,R,TX,19,1,M,202-225-4005,,https://arrington.house.gov,,1029 Longworth House Office Building,A000375,155685,H6TX19099,412726,N00038285,RepArrington,,,JodeyArrington,,,1972-03-09,Rep.Arrington@opencongress.org
Rep,Spencer,Thomas,Bachus,III,,R,AL,6,0,M,202-225-4921,202-225-2082,http://bachus.house.gov,https://bachus.house.gov/email-me,2246 Rayburn House Office Building,B000013,26715,H2AL06035,400010,N00008091,,http://www.opencongress.org/wiki/Spencer_Bachus,,,,,1947-12-28,
Rep,Richard,Hugh,Baker,,,R,LA,6,0,M,,,http://baker.house.gov,,,B000072,26882,H6LA06083,400012,N00005407,,http://www.opencongress.org/wiki/Richard_Baker,,,,,1948-05-22,
Rep,Roscoe,G.,Bartlett,,,R,MD,6,0,M,202-225-2721,202-225-2193,http://bartlett.house.gov,http://www.bartlett.house.gov/Email_Roscoe/,2412 Rayburn House Office Building,B000208,26891,H2MD06054,400017,N00002017,,http://www.opencongress.org/wiki/Roscoe_Bartlett,,,,,1926-06-03,
Rep,Joe,Linus,Barton,,,R,TX,6,1,M,202-225-2002,202-225-3052,https://joebarton.house.gov,,2107 Rayburn House Office Building,B000213,27082,H4TX06117,400018,N00005656,RepJoeBarton,http://www.opencongress.org/wiki/Joe_Barton,http://youtube.com/repjoebarton,RepJoeBarton,,,1949-09-15,Rep.Joebarton@opencongress.org
Rep,Charles,F.,Bass,,Charlie,R,NH,2,0,M,202-225-5206,202-225-2946,http://bass.house.gov/,,2350 Rayburn House Office Building,B000220,22216,H0NH02017,400019,N00000423,,http://www.opencongress.org/wiki/Charlie_Bass,,,,,1952-01-08,
Sen,Max,S.,Baucus,,,D,MT,Senior Seat,0,M,202-224-2651,202-224-0515,http://www.baucus.senate.gov,http://www.baucus.senate.gov/contact/emailForm.cfm?subj=issue,511 Hart Senate Office Building,B000243,53315,S8MT00010,300005,N00004643,,http://www.opencongress.org/wiki/Max_Baucus,,,,II,1941-12-11,
Rep,Xavier,,Becerra,,,D,CA,34,0,M,202-225-6235,,https://becerra.house.gov,,1226 Longworth House Office Building,B000287,26754,H2CA30143,400021,N00009774,RepBecerra,http://www.opencongress.org/wiki/Xavier_Becerra,http://youtube.com/XavierBecerra,90311772229,,,1958-01-26,
Sen,Robert,F.,Bennett,,,R,UT,Junior Seat,0,M,,,http://bennett.senate.gov,,,B000382,53351,S2UT00104,300007,N00006347,,http://www.opencongress.org/wiki/Robert_Bennett,,,,III,1933-09-18,
Rep,Howard,L.,Berman,,,D,CA,28,0,M,202-225-4695,202-225-3196,http://www.house.gov/berman,http://www.house.gov/berman/contact/,2221 Rayburn House Office Building,B000410,26756,H2CA26026,400025,N00008094,,http://www.opencongress.org/wiki/Howard_Berman,,,,,1941-04-15,
Rep,Robert,Marion,Berry,,Marion,D,AR,1,0,M,,,http://www.house.gov/berry/,,,B000420,430,H6AR01072,400026,N00005455,,http://www.opencongress.org/wiki/Robert_Marion_Berry,,,,,1942-08-27,
Sen,Joseph,R.,Biden,Jr.,,D,DE,Senior Seat,0,M,,,http://biden.senate.gov,,,B000444,53279,S8DE00012,300008,N00001669,,http://www.opencongress.org/wiki/Joseph_Biden,,,,II,1942-11-20,
Rep,Brian,P.,Bilbray,,,R,CA,50,0,M,202-225-0508,202-225-2558,http://www.house.gov/bilbray,http://www.house.gov/bilbray/contact.shtml,2410 Rayburn House Office Building,B000461,21916,H4CA49032,400570,N00006981,,http://www.opencongress.org/wiki/Brian_Bilbray,,,,,1951-01-28,
Sen,Jeff,,Bingaman,,,D,NM,Senior Seat,0,M,202-224-5521,202-224-2852,http://bingaman.senate.gov,http://www.bingaman.senate.gov/contact/,703 Hart Senate Office Building,B000468,53326,S2NM00021,300009,N00006518,,http://www.opencongress.org/wiki/Jeff_Bingaman,,,,I,1943-10-03,
Rep,Sanford,D.,Bishop,Jr.,,D,GA,2,1,M,202-225-3631,202-225-2203,http://bishop.house.gov,,2407 Rayburn House Office Building,B000490,26817,H2GA02031,400030,N00002674,SanfordBishop,http://www.opencongress.org/wiki/Sanford_Bishop,http://youtube.com/RepSanfordBishop,sanfordbishop,,,1947-02-04,Rep.Bishop@opencongress.org
Rep,Earl,,Blumenauer,,,D,OR,3,1,M,202-225-4811,202-225-8941,https://blumenauer.house.gov,,1111 Longworth House Office Building,B000574,367,H6OR03064,400033,N00007727,BlumenauerMedia,http://www.opencongress.org/wiki/Earl_Blumenauer,http://youtube.com/RepBlumenauer,,,,1948-08-16,Rep.Blumenauer@opencongress.org
Sen,Roy,,Blunt,,,R,MO,Junior Seat,1,M,202-224-5721,202-224-8149,https://www.blunt.senate.gov/public,https://www.blunt.senate.gov/public/index.cfm/contact-roy,260 Russell Senate Office Building,B000575,418,H6MO07128,400034,N00005195,RoyBlunt,http://www.opencongress.org/wiki/Roy_Blunt,http://youtube.com/SenatorBlunt,SenatorBlunt,,III,1950-01-10,Sen.Blunt@opencongress.org
Rep,John,A.,Boehner,,,R,OH,8,0,M,202-225-6205,202-225-0704,http://johnboehner.house.gov,http://boehner.house.gov/contact/,1011 Longworth House Office Building,B000589,27015,H0OH08029,400036,N00003675,,http://www.opencongress.org/wiki/John_Boehner,,,,,1949-11-17,
Sen,Christopher,S.,Bond,,Kit,R,MO,Senior Seat,0,M,,,http://bond.senate.gov,,,B000611,53313,S6MO00289,300010,N00005178,,http://www.opencongress.org/wiki/Christopher_Bond,,,,III,1939-03-06,
Rep,Leonard,L.,Boswell,,,D,IA,3,0,M,202-225-3806,202-225-5608,http://boswell.house.gov,http://boswell.house.gov/messageform.htm,1026 Longworth House Office Building,B000652,384,H6IA03144,400042,N00004208,,http://www.opencongress.org/wiki/Leonard_Boswell,,,,,1934-01-10,
Rep,Frederick,C.,Boucher,,Rick,D,VA,9,0,M,,,http://www.boucher.house.gov,,,B000657,27119,H2VA09010,400043,N00002171,,http://www.opencongress.org/wiki/Frederick_Boucher,,,,,1946-08-01,
Sen,Barbara,,Boxer,,,D,CA,Junior Seat,0,F,202-224-3553,202-224-0454,https://www.boxer.senate.gov,https://www.boxer.senate.gov/contact/shareyourviews.html,112 Hart Senate Office Building,B000711,53274,S2CA00286,300011,N00006692,,http://www.opencongress.org/wiki/Barbara_Boxer,,,,III,1940-11-11,
Rep,Allen,,Boyd,Jr.,,D,FL,2,0,M,,,http://boyd.house.gov,,,B000716,729,H6FL00046,400044,N00002743,,http://www.opencongress.org/wiki/Allen_Boyd,,,,,1945-06-06,
Rep,Kevin,P.,Brady,,,R,TX,8,1,M,202-225-4901,202-225-5524,http://kevinbrady.house.gov,,1011 Longworth House Office Building,B000755,361,H6TX08100,400046,N00005883,RepKevinBrady,http://www.opencongress.org/wiki/Kevin_Brady,http://youtube.com/KBrady8,kevinbrady,,,1955-04-11,Rep.Kevinbrady@opencongress.org
Rep,Corrine,,Brown,,,D,FL,5,0,F,202-225-0123,202-225-2256,https://corrinebrown.house.gov,https://forms.house.gov/corrinebrown/webforms/contact-me.shtml,2111 Rayburn House Office Building,B000911,26797,H2FL03056,400048,N00002713,,http://www.opencongress.org/wiki/Corrine_Brown,,,,,1946-11-11,
Sen,Sherrod,,Brown,,,D,OH,Senior Seat,1,M,202-224-2315,202-228-6321,https://www.brown.senate.gov,http://www.brown.senate.gov/contact/,713 Hart Senate Office Building,B000944,27018,H2OH13033,400050,N00003535,SenSherrodBrown,http://www.opencongress.org/wiki/Sherrod_Brown,http://youtube.com/SherrodBrownOhio,,,I,1952-11-09,Sen.Brown@opencongress.org
Sen,Samuel,D.,Brownback,,Sam,R,KS,Senior Seat,0,M,,,http://brownback.senate.gov,,,B000953,21952,S6KS00122,300013,N00005244,,http://www.opencongress.org/wiki/Samuel_Brownback,,,,III,1956-09-12,
Sen,Jim,,Bunning,,,R,KY,Junior Seat,0,M,,,http://bunning.senate.gov,,,B001066,26874,S8KY00118,300014,N00003437,,http://www.opencongress.org/wiki/Jim_Bunning,,,,III,1931-10-23,
Sen,Richard,M.,Burr,,,R,NC,Senior Seat,1,M,202-224-3154,202-228-2981,https://www.burr.senate.gov,https://www.burr.senate.gov/contact/email,217 Russell Senate Office Building,B001135,21787,S4NC00089,400054,N00002221,SenatorBurr,http://www.opencongress.org/wiki/Richard_Burr,http://youtube.com/SenatorRichardBurr,SenatorRichardBurr,,III,1955-11-30,Sen.Burr@opencongress.org
Rep,Dan,L.,Burton,,,R,IN,5,0,M,202-225-2276,202-225-0016,http://burton.house.gov,http://burton.house.gov/contacts/new,2308 Rayburn House Office Building,B001149,26855,H2IN06023,400055,N00000010,,http://www.opencongress.org/wiki/Dan_Burton,,,,,1938-06-21,
Rep,Stephen,E.,Buyer,,Steve,R,IN,4,0,M,,,http://stevebuyer.house.gov,,,B001203,26854,H2IN05025,400056,N00003924,,http://www.opencongress.org/wiki/Stephen_Buyer,,,,,1958-11-26,
Sen,Robert,C.,Byrd,,,D,WV,Senior Seat,0,M,,,http://byrd.senate.gov,,,B001210,53359,S6WV00014,300016,N00002200,,http://www.opencongress.org/wiki/Robert_Byrd,,,,I,1917-11-20,
Rep,Robert,Alan,Brady,,,D,PA,1,1,M,202-225-4731,202-225-0088,http://brady.house.gov,,2004 Rayburn House Office Building,B001227,2519,H8PA01153,400047,N00001619,RepBrady,http://www.opencongress.org/wiki/Robert_Brady,http://youtube.com/BradyPA01,RepRobertBrady,,,1945-04-07,Rep.Brady@opencongress.org
Rep,Mary,Whitaker,Bono Mack,,,R,CA,45,0,F,202-225-5330,202-225-2961,http://bono.house.gov,http://www.house.gov/formbono/issue.htm,104 Cannon House Office Building,B001228,1434,H8CA44034,400039,N00007068,,http://www.opencongress.org/wiki/Mary_Bono_Mack,,,,,1961-10-24,
Rep,Brian,N.,Baird,,,D,WA,3,0,M,,,http://www.baird.house.gov,,,B001229,837,H6WA03135,400011,N00007936,,http://www.opencongress.org/wiki/Brian_Baird,,,,,1956-03-07,
Sen,Tammy,,Baldwin,,,D,WI,Junior Seat,1,F,202-224-5653,202-225-6942,https://www.baldwin.senate.gov,https://www.baldwin.senate.gov/feedback,709 Hart,B001230,3470,H8WI00018,400013,N00004367,SenatorBaldwin,http://www.opencongress.org/wiki/Tammy_Baldwin,http://youtube.com/witammybaldwin,senatortammybaldwin,,I,1962-02-11,Sen.Baldwin@opencongress.org
Rep,Shelley,,Berkley,,,D,NV,1,0,F,202-225-5965,202-225-3119,http://berkley.house.gov,http://berkley.house.gov/contact/email.html,405 Cannon House Office Building,B001231,22744,H8NV01071,400024,N00009818,,http://www.opencongress.org/wiki/Shelley_Berkley,,,,,1951-01-20,
Rep,Judy,,Biggert,,,R,IL,13,0,F,202-225-3515,202-225-9420,http://judybiggert.house.gov,http://judybiggert.house.gov/ContactJudy.aspx,2113 Rayburn House Office Building,B001232,6298,H8IL13069,400027,N00004762,,http://www.opencongress.org/wiki/Judy_Biggert,,,,,1937-08-15,
Sen,Evan,,Bayh,,,D,IN,Junior Seat,0,M,,,http://bayh.senate.gov,,,B001233,22418,S8IN00049,300006,N00003762,,http://www.opencongress.org/wiki/Evan_Bayh,,,,III,1955-12-26,
Rep,Joe,,Baca,,,D,CA,43,0,M,202-225-6161,202-225-8671,http://www.house.gov/baca,http://www.house.gov/baca/zipauth.shtml,2366 Rayburn House Office Building,B001234,8039,H6CA42099,400009,N00007089,,http://www.opencongress.org/wiki/Joe_Baca,,,,,1947-01-23,
Rep,Henry,E.,Brown,Jr.,,R,SC,1,0,M,,,http://brown.house.gov,,,B001235,3993,H0SC01071,400049,N00002428,,http://www.opencongress.org/wiki/Henry_Brown,,,,,1935-12-20,
Sen,John,,Boozman,,,R,AR,Senior Seat,1,M,202-224-4843,202-228-1371,https://www.boozman.senate.gov/public,https://www.boozman.senate.gov/public/index.cfm/contact,141 Hart Senate Office Building,B001236,27958,H2AR03176,400040,N00013873,JohnBoozman,http://www.opencongress.org/wiki/John_Boozman,http://youtube.com/BoozmanPressOffice,JohnBoozman,,III,1950-12-10,Sen.Boozman@opencongress.org
Rep,James,Gresham,Barrett,,J. Gresham,R,SC,3,0,M,,,http://www.house.gov/barrett,,,B001239,14577,H2SC03057,400016,N00013837,,http://www.opencongress.org/wiki/J._Gresham_Barrett,,,,,1961-02-14,
Rep,Timothy,H.,Bishop,,,D,NY,1,0,M,202-225-3826,202-225-3143,http://timbishop.house.gov,https://timbishop.house.gov/email-me,306 Cannon House Office Building,B001242,44518,H2NY01067,400031,N00025413,,http://www.opencongress.org/wiki/Timothy_Bishop,,,,,1950-06-01,
Rep,Marsha,W.,Blackburn,,,R,TN,7,1,F,202-225-2811,202-225-3004,http://blackburn.house.gov,,2266 Rayburn House Office Building,B001243,25186,H2TN06030,400032,N00003105,MarshaBlackburn,http://www.opencongress.org/wiki/Marsha_Blackburn,http://youtube.com/RepMarshaBlackburn,marshablackburn,,,1952-06-06,Rep.Blackburn@opencongress.org
Rep,Jo,,Bonner,,,R,AL,1,0,M,202-225-4931,202-225-0562,http://bonner.house.gov,https://forms.house.gov/bonner/webforms/issue_subscribe.html,2236 Rayburn House Office Building,B001244,27522,H2AL01077,400038,N00025330,,http://www.opencongress.org/wiki/Josiah_Bonner,,,,,1959-11-19,
Del,Madeleine,Z.,Bordallo,,,D,GU,0,1,F,202-225-1188,202-226-0341,https://bordallo.house.gov,,2441 Rayburn House Office Building,B001245,1751,H2GU00033,400041,N00024866,,http://www.opencongress.org/wiki/Madeline_Bordallo,http://youtube.com/RepMadeleineBordallo,madeleine.bordallo,,,1933-05-31,Rep.Bordallo@opencongress.org
Rep,Virginia,,Brown-Waite,,Ginny,R,FL,5,0,F,,,http://www.house.gov/brown-waite,,,B001247,8077,H2FL05127,400051,N00024777,,http://www.opencongress.org/wiki/Virginia_Brown-Waite,,,,,1943-10-05,
Rep,Michael,C.,Burgess,,,R,TX,26,1,M,202-225-7772,202-225-2919,http://burgess.house.gov,,2336 Rayburn House Office Building,B001248,50120,H2TX26093,400052,N00025219,MichaelCBurgess,http://www.opencongress.org/wiki/Michael_Burgess,http://youtube.com/michaelcburgessmd,michaelcburgess,,,1950-12-23,Rep.Burgess@opencongress.org
Rep,Rob,,Bishop,,,R,UT,1,1,M,202-225-0453,202-225-5857,http://robbishop.house.gov,,123 Cannon House Office Building,B001250,50544,H2UT01094,400029,N00025292,RepRobBishop,http://www.opencongress.org/wiki/Rob_Bishop,http://youtube.com/CongressmanBishop,RepRobBishop,,,1951-07-13,Rep.Robbishop@opencongress.org
Rep,George,Kenneth,Butterfield,Jr.,G.K.,D,NC,1,1,M,202-225-3101,202-225-3354,http://butterfield.house.gov,,2080 Rayburn House Office Building,B001251,41077,H4NC01046,400616,N00027035,GKButterfield,http://www.opencongress.org/wiki/George_Butterfield,http://youtube.com/GKBNC01,congressmangkbutterfield,,,1947-04-27,Rep.Butterfield@opencongress.org
Rep,John,,Barrow,,,D,GA,12,0,M,202-225-2823,202-225-3377,http://barrow.house.gov,http://barrowforms.house.gov/contact/,2202 Rayburn House Office Building,B001252,31780,H4GA12010,400628,N00026080,,http://www.opencongress.org/wiki/John_Barrow,,,,,1955-10-31,
Rep,Melissa,L.,Bean,,,D,IL,8,0,F,,,http://www.house.gov/bean,,,B001253,33448,H2IL08088,400631,N00024875,,http://www.opencongress.org/wiki/Melissa_Bean,,,,,1962-01-22,
Rep,Dan,,Boren,,,D,OK,2,0,M,202-225-2701,202-225-3038,http://www.house.gov/boren,http://www.house.gov/boren/emailsignup.shtml,2447 Rayburn House Office Building,B001254,46182,H4OK02089,400645,N00026481,,http://www.opencongress.org/wiki/David_Daniel_Boren,,,,,1973-08-02,
Rep,Charles,W.,Boustany,Jr.,,R,LA,3,0,M,202-225-2031,202-225-5724,http://boustany.house.gov,https://boustanyforms.house.gov/contact-me/,1431 Longworth House Office Building,B001255,35514,H4LA07029,400636,N00026595,,http://www.opencongress.org/wiki/Charles_Boustany,,,,,1956-02-21,
Rep,Michele,Marie,Bachmann,,,R,MN,6,0,F,202-225-2331,202-225-6475,http://bachmann.house.gov,https://bachmann.house.gov/contact/email-michele,2417 Rayburn House Office Building,B001256,54675,H6MN06074,412216,N00027493,,http://www.opencongress.org/wiki/Michele_Bachmann,,,,,1956-04-06,
Rep,Gus,M.,Bilirakis,,,R,FL,12,1,M,202-225-5755,202-225-4085,https://bilirakis.house.gov,,2112 Rayburn House Office Building,B001257,17318,H6FL09070,412250,N00027462,RepGusBilirakis,http://www.opencongress.org/wiki/Gus_Michael_Bilirakis,http://youtube.com/RepGusBilirakis,GusBilirakis,,,1963-02-08,Rep.Bilirakis@opencongress.org
Rep,Nancy,E.,Boyda,,,D,KS,2,0,F,,,http://boyda.house.gov,,,B001258,34790,H4KS02107,412210,N00026434,,http://www.opencongress.org/wiki/Nancy_Boyda,,,,,1955-08-02,
Rep,Bruce,L.,Braley,,,D,IA,1,0,M,202-225-2911,202-225-6666,http://braley.house.gov,http://braley.house.gov/contact,2263 Rayburn House Office Building,B001259,57382,H6IA01098,412208,N00027464,,http://www.opencongress.org/wiki/Bruce_Braley,,,,,1957-10-30,
Rep,Vern,,Buchanan,,,R,FL,16,1,M,202-225-5015,202-226-0828,https://buchanan.house.gov,,2104 Rayburn House Office Building,B001260,66247,H6FL13148,412196,N00027626,VernBuchanan,http://www.opencongress.org/wiki/Vern_Buchanan,http://youtube.com/vernbuchanan,CongressmanBuchanan,,,1951-05-08,Rep.Buchanan@opencongress.org
Sen,John,A.,Barrasso,,,R,WY,Junior Seat,1,M,202-224-6441,202-224-1724,https://www.barrasso.senate.gov,https://www.barrasso.senate.gov/public/index.cfm/contact-form,307 Dirksen Senate Office Building,B001261,52662,S6WY00068,412251,N00006236,SenJohnBarrasso,http://www.opencongress.org/wiki/John_Barrasso,http://youtube.com/barrassowyo,johnbarrasso,,I,1952-07-21,Sen.Barrasso@opencongress.org
Rep,Paul,C.,Broun,Jr.,,R,GA,10,0,M,202-225-4101,202-226-0776,http://broun.house.gov,https://broun.house.gov/forms/writeyourrep/,2437 Rayburn House Office Building,B001262,70001,H8GA10049,412252,N00028986,,http://www.opencongress.org/wiki/Paul_Broun,,,,,1946-05-14,
Rep,John,A.,Boccieri,,,D,OH,16,0,M,,,http://boccieri.house.gov,,,B001263,45694,H8OH16058,412266,N00029161,,http://www.opencongress.org/wiki/John_Boccieri,,,,,1969-10-05,
Rep,Bobby,,Bright,,,D,AL,2,0,M,,,http://www.bright.house.gov,,,B001264,104839,H8AL02130,412267,N00029838,,http://www.opencongress.org/wiki/Bobby_Bright,,,,,1952-07-21,
Sen,Mark,,Begich,,,D,AK,Junior Seat,0,M,202-224-3004,202-224-2354,http://www.begich.senate.gov,http://www.begich.senate.gov/public/index.cfm?p=EmailSenator,111 Russell Senate Office Building,B001265,79426,S8AK00090,412326,N00029901,,http://www.opencongress.org/wiki/Mark_Begich,,,,II,1962-03-30,
Sen,Roland,,Burris,,,D,IL,Junior Seat,0,M,,,http://burris.senate.gov/,,,B001266,18168,S4IL00057,412328,N00015389,,http://www.opencongress.org/wiki/Roland_Burris,,,,III,1937-08-03,
Sen,Michael,F.,Bennet,,,D,CO,Senior Seat,1,M,202-224-5852,202-228-5097,https://www.bennet.senate.gov,https://www.bennet.senate.gov/?p=contact,261 Russell Senate Office Building,B001267,110942,S0CO00211,412330,N00030608,SenBennetCo,http://www.opencongress.org/wiki/Michael_Bennet,http://youtube.com/SenatorBennet,senbennetco,,III,1964-11-28,Sen.Bennet@opencongress.org
Sen,Scott,,Brown,,,R,MA,Junior Seat,0,M,202-224-4543,,http://scottbrown.senate.gov,http://www.scottbrown.senate.gov/public/index.cfm/emailscottbrown,359 Dirksen Senate Office Building,B001268,18919,S0MA00109,412384,N00031174,,http://www.opencongress.org/wiki/Scott_Brown,,,,I,1959-09-12,
Rep,Lou,,Barletta,,,R,PA,11,1,M,202-225-6511,202-225-0764,http://barletta.house.gov,,2049 Rayburn House Office Building,B001269,47143,H2PA11098,412469,N00025495,RepLouBarletta,http://www.opencongress.org/wiki/Lou_Barletta,http://youtube.com/reploubarletta,CongressmanLouBarletta,,,1956-01-28,Rep.Barletta@opencongress.org
Rep,Karen,,Bass,,,D,CA,37,1,F,202-225-7084,202-225-2422,https://bass.house.gov,,2241 Rayburn House Office Building,B001270,28963,H0CA33117,412404,N00031877,RepKarenBass,http://www.opencongress.org/wiki/Karen_Bass,http://youtube.com/RepKarenBass,RepKarenBass,,,1953-10-03,Rep.Bass@opencongress.org
Rep,Dan,,Benishek,,,R,MI,1,0,M,202-225-4735,202- 225-4744,http://benishek.house.gov,https://benishek.house.gov/contact-me/email-me,514 Cannon House Office Building,B001271,123056,H0MI01088,412436,N00031934,,http://www.opencongress.org/wiki/Dan_Benishek,,,,,1952-04-20,
Rep,Rick,,Berg,,,R,ND,0,0,M,202-225-2611,202-226-0893,http://berg.house.gov/,,323 Cannon House Office Building,B001272,7693,H0ND00135,412458,N00031629,,http://www.opencongress.org/wiki/Rick_Berg,,,,,1959-08-16,
